Year,Recipient,Demographic_Group,Demographic,Demo Variable,Current Cigarette_V,Current Cigarette_L,Current Cigarette_U,Current Cigarette_E,Current Cigarette_RSE,Current Cigarette_N,Current Smokeless_V,Current Smokeless_L,Current Smokeless_U,Current Smokeless_E,Current Smokeless_RSE,Current Smokeless_N,Current E-cigarette_V,Current E-cigarette_L,Current E-cigarette_U,Current E-cigarette_E,Current E-cigarette_RSE,Current E-cigarette_N,Current Any Tobacco Product_V,Current Any Tobacco Product_L,Current Any Tobacco Product_U,Current Any Tobacco Product_E,Current Any Tobacco Product_RSE,Current Any Tobacco Product_N,Past-Year Quit Attempt_V,Past-Year Quit Attempt_L,Past-Year Quit Attempt_U,Past-Year Quit Attempt_E,Past-Year Quit Attempt_RSE,Past-Year Quit Attempt_N
2019,Alabama,Age,Age 65 or older,_AGE_G,10.8,9.3,12.5,0.8,7.4,2576,4.7,3.6,6.1,0.6,13.4,2586,,,,,,,,,,,,,54.2,46.4,61.9,4,0.1,149
2019,Alabama,Age,Age 18 to 24,_AGE_G,12.6,9.1,17.3,2.1,16.6,322,7,4.6,10.5,1.5,21.1,321,,,,,,,,,,,,,,,,,,
2019,Alabama,Age,Age 45 to 64,_AGE_G,21.7,19.7,23.9,1.1,5,2453,5.1,4.1,6.3,0.5,10.7,2451,,,,,,,,,,,,,56.1,50.4,61.5,2.8,0.1,287
2019,Alabama,Age,Age 25 to 44,_AGE_G,28.3,25.5,31.3,1.5,5.2,1393,8.3,6.7,10.3,0.9,11.1,1392,,,,,,,,,,,,,65.4,59.2,71.1,3.1,0.1,242
2020,Alabama,Age,Age 65 or older,_AGE_G,9.9,8.3,11.8,0.9,9.1,1831,3.9,2.8,5.5,0.7,17,1841,,,,,,,,,,,,,47.6,38.4,56.9,4.8,0.1,86
2020,Alabama,Age,Age 18 to 24,_AGE_G,11.1,7.4,16.3,2.2,20.2,305,4.7,2.7,8.3,1.4,29.2,306,,,,,,,,,,,,,,,,,,
2020,Alabama,Age,Age 45 to 64,_AGE_G,21.5,19.1,24.1,1.3,6,1794,6.3,4.9,8,0.8,12.6,1797,,,,,,,,,,,,,57,50.1,63.6,3.5,0.1,205
2020,Alabama,Age,Age 25 to 44,_AGE_G,24.3,21.4,27.4,1.5,6.4,1183,6.8,5.2,8.7,0.9,13.2,1182,,,,,,,,,,,,,67.3,60.2,73.7,3.5,0.1,166
2021,Alabama,Age,Age 65 or older,_AGE_G,12.3,10.1,14.9,1.2,9.9,1706,4,2.7,6,0.8,20.7,1714,1.4,0.9,2.3,0.3,23.6,1713,16.1,13.6,18.9,1.4,8.5,1705,,,,,,
2021,Alabama,Age,Age 45 to 64,_AGE_G,20.4,17.8,23.2,1.4,6.7,1460,5.5,4.1,7.2,0.8,14.4,1461,6.8,5.2,8.8,0.9,13.3,1459,28.6,25.7,31.7,1.5,5.4,1457,,,,,,
2021,Alabama,Age,Age 25 to 44,_AGE_G,22.2,19,25.7,1.7,7.7,982,7.4,5.6,9.9,1.1,14.6,984,13.5,11.1,16.3,1.3,9.9,983,35,31.4,38.8,1.9,5.4,983,,,,,,
2021,Alabama,Age,Age 18 to 24,_AGE_G,,2.5,9.6,1.7,34.1,239,,1.8,6.7,1.2,34,239,19.4,14.2,25.8,2.9,15.2,238,23.7,18,30.6,3.2,13.5,238,,,,,,
2022,Alabama,Age,Age 65 or older,_AGE_G,9.1,7.4,11,0.9,10.1,1789,3.6,2.5,5.1,0.6,17.6,1795,2.4,1.5,3.6,0.5,22.1,1788,14.3,12.2,16.7,1.2,8.1,1778,,,,,,
2022,Alabama,Age,Age 18 to 24,_AGE_G,9.9,5.6,16.9,2.8,28.3,179,,0.9,5.4,1,46.9,181,27.6,20.5,36.1,4,14.5,181,31.4,23.9,40.1,4.1,13.2,179,,,,,,
2022,Alabama,Age,Age 25 to 44,_AGE_G,19,15.8,22.7,1.7,9.2,892,6.1,4.2,8.8,1.1,18.6,894,14.3,11.6,17.5,1.5,10.6,889,30.9,27.1,34.8,2,6.4,887,,,,,,
2022,Alabama,Age,Age 45 to 64,_AGE_G,19.3,16.9,21.9,1.3,6.6,1428,6.1,4.1,9,1.2,20.2,1431,6.1,4.7,7.9,0.8,13.1,1428,28,24.9,31.3,1.6,5.8,1424,,,,,,
2023,Alabama,Age,Age 65 or older,_AGE_G,9.9,8.1,12,1,10.1,1686,4.8,3.5,6.5,0.7,15.6,1695,1.5,0.9,2.4,0.4,25.6,1688,14.7,12.5,17.1,1.2,8,1680,45.5,35.4,56,5.3,0.1,72
2023,Alabama,Age,Age 25 to 44,_AGE_G,15.4,12.7,18.5,1.5,9.6,926,6.1,4.4,8.4,1,16.4,928,13.5,11.1,16.5,1.4,10.1,922,28.5,25.1,32.2,1.8,6.3,921,60.4,49.3,70.5,5.5,0.1,62
2023,Alabama,Age,Age 45 to 64,_AGE_G,20.2,17.6,23,1.4,6.8,1399,7.4,5.9,9.3,0.9,11.7,1404,6.3,4.8,8.2,0.9,13.9,1400,29.1,26.2,32.3,1.6,5.3,1397,46.4,38.6,54.4,4.1,0.1,115
2023,Alabama,Age,Age 18 to 24,_AGE_G,,2.5,9.8,1.8,35.4,214,,2.6,10,1.8,34.3,214,23.3,17,31.1,3.6,15.6,214,26.2,19.6,34.2,3.7,14.2,214,,,,,,
