Year,Recipient,Analysis,Demographic_Group,Demographic,Demo Variable,Smoking_V,Smoking_L,Smoking_U,Smoking_E,Smoking_RSE,Smoking_N,Smokeless_V,Smokeless_L,Smokeless_U,Smokeless_E,Smokeless_RSE,Smokeless_N,Ecig_V,Ecig_L,Ecig_U,Ecig_E,Ecig_RSE,Ecig_N,Any_V,Any_L,Any_U,Any_E,Any_RSE,Any_N
2019,United States (median),Prevalence,Total Population,Total Population,,16,,,,,,4.2,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Sex,Male,_SEX,17.4,,,,,,8,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Sex,Female,_SEX,14.3,,,,,,1,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Race,"White, Non-Hispanic",_IMPRACE,15.4,,,,,,4.8,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Race,"Black, Non-Hispanic",_IMPRACE,18.4,,,,,,2.4,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Race,"Asian, Non-Hispanic",_IMPRACE,9.8,,,,,,2.3,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,31.4,,,,,,10.5,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Race,Hispanic,_IMPRACE,13.8,,,,,,2.7,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Race,"Other race, Non-Hispanic",_IMPRACE,23.3,,,,,,5.5,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Age,Age 18 to 24,_AGE_G,11.1,,,,,,6,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Age,Age 25 to 44,_AGE_G,20.8,,,,,,5.6,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Age,Age 45 to 64,_AGE_G,17.7,,,,,,3.9,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Age,Age 65 or older,_AGE_G,9.2,,,,,,1.9,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Education (4 Level),Did not graduate High School,_EDUCAG,29.3,,,,,,6.6,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Education (4 Level),Graduated High School,_EDUCAG,21.3,,,,,,6,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Education (4 Level),Attended College or Technical School,_EDUCAG,15.9,,,,,,4,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Education (4 Level),Graduated from College or Technical School,_EDUCAG,6.3,,,,,,2.3,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Education (2 Level),Less than college/technical school graduate,_ED_LVL,20.3,,,,,,5.1,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Education (2 Level),Graduate from college/technical school,_ED_LVL,6.3,,,,,,2.3,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Behavioral Health Status,No Behavioral Health Condition,_MENT14D,13.6,,,,,,4.2,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Behavioral Health Status,Behavioral Health Condition,_MENT14D,30.2,,,,,,4.7,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Cigarette Use History,Current smoker,_SMOKER3,,,,,,,8.1,,,,,,,,,,,,,,,,,
2019,United States (median),Prevalence,Cigarette Use History,Former smoker,_SMOKER3,,,,,,,4.9,,,,,,,,,,,,,,,,,
