Year,Recipient,Demographic_Group,Demographic,Demo Variable,Current Cigarette_V,Current Cigarette_L,Current Cigarette_U,Current Cigarette_E,Current Cigarette_RSE,Current Cigarette_N,Current Smokeless_V,Current Smokeless_L,Current Smokeless_U,Current Smokeless_E,Current Smokeless_RSE,Current Smokeless_N,Current E-cigarette_V,Current E-cigarette_L,Current E-cigarette_U,Current E-cigarette_E,Current E-cigarette_RSE,Current E-cigarette_N,Current Any Tobacco Product_V,Current Any Tobacco Product_L,Current Any Tobacco Product_U,Current Any Tobacco Product_E,Current Any Tobacco Product_RSE,Current Any Tobacco Product_N,Past-Year Quit Attempt_V,Past-Year Quit Attempt_L,Past-Year Quit Attempt_U,Past-Year Quit Attempt_E,Past-Year Quit Attempt_RSE,Past-Year Quit Attempt_N
2019,United States (median),Total Population,Total Population,,16.0,,,,,52,4.2,,,,,52,,,,,,0,,,,,,0,57.1,,,,,
2019,United States (median),Sex,Male,_SEX,17.4,,,,,52,8.0,,,,,50,,,,,,0,,,,,,0,56.1,,,,,52.0
2019,United States (median),Sex,Female,_SEX,14.3,,,,,52,1.0,,,,,44,,,,,,0,,,,,,0,58.15,,,,,52.0
2019,United States (median),Race,"White, Non-Hispanic",_IMPRACE,15.4,,,,,51,4.8,,,,,49,,,,,,0,,,,,,0,53.9,,,,,49.0
2019,United States (median),Race,"Black, Non-Hispanic",_IMPRACE,18.4,,,,,38,2.4,,,,,15,,,,,,0,,,,,,0,68.9,,,,,25.0
2019,United States (median),Race,"Asian, Non-Hispanic",_IMPRACE,9.8,,,,,9,2.3,,,,,4,,,,,,0,,,,,,0,54.1,,,,,1.0
2019,United States (median),Race,"American Indian/Alaskan Native, Non-Hispanic",_IMPRACE,31.4,,,,,30,10.5,,,,,9,,,,,,0,,,,,,0,59.35,,,,,4.0
2019,United States (median),Race,Hispanic,_IMPRACE,13.8,,,,,45,2.7,,,,,15,,,,,,0,,,,,,0,65.0,,,,,18.0
2019,United States (median),Race,"Other race, Non-Hispanic",_IMPRACE,23.3,,,,,48,5.5,,,,,9,,,,,,0,,,,,,0,63.4,,,,,5.0
2019,United States (median),Age,Age 18 to 24,_AGE_G,11.1,,,,,51,6.0,,,,,34,,,,,,0,,,,,,0,66.6,,,,,7.0
